longitud,latitud,address,restaurant,fill_type
17.66553,59.88565,"Takpannegatan 33 Uppsala",max,small_blue
17.65777,59.86868,"Kvarnängsgatan 53 Uppsala",max,small_blue
17.63865,59.85886,"Stora Torget 6-8 Uppsala",max,small_blue
18.30357,57.63749,"Scheelegatan 10 Visby",max,small_blue
14.07426,57.16323,"Refugen 2 Värnamo",max,small_blue
16.46757,59.6129,"Traversgatan 3 Västerås",max,small_blue
16.6135,59.61269,"Fältmätargatan 26 Västerås",max,small_blue
16.57,59.61333,"Retortgatan 16 Västerås",max,small_blue
14.77521,56.87803,"Sambandsvägen 6 Växjö",max,small_blue
13.82101,55.4291,"Hamngatan 3 Ystad",max,small_blue
13.07803,63.40041,"Årevägen 108 H Åre",max,small_blue
15.22371,59.26692,"Rudbecksgatan 52 E Örebro",max,small_blue
15.13431,59.21289,"Kundvägen 2 Örebro",max,small_blue
15.20349,59.29738,"Boglundsgatan 2 Örebro",max,small_blue
18.7051,63.29073,"Stationsplan 9 Örnsköldsvik",max,small_blue
14.64362,63.16759,"Bangårdsgatan 10 Östersund",max,small_blue
